"Status","SanctuarySection","ClassType","CollectionName","Title","FileName","FullPath","SizeGB","LastWriteTime","BunnyVideoId","BunnyStatus","UploadedAt","Notes"
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-02-16 Monday Somatic Vinyasa 17-39-40","2026-02-16 Monday Somatic Vinyasa 17-39-40 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-16 Monday Somatic Vinyasa 17-39-40 (edited).mp4","1.68","2026-06-25 18:58:55","16910e4a-02d2-4792-9208-27975a07f40e","uploaded_to_bunny_processing","2026-07-01 01:23:41",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-02-17 Tuesday Restorative 17-42-58","2026-02-17 Tuesday Restorative 17-42-58 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-17 Tuesday Restorative 17-42-58 (edited).mp4","1.55","2026-06-25 19:05:54","05508cf1-847c-434d-84c6-70d093cbe687","uploaded_to_bunny_processing","2026-07-01 01:33:36",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-02-18 Wednesday Somatikatha 09-48-50","2026-02-18 Wednesday Somatikatha 09-48-50 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-18 Wednesday Somatikatha 09-48-50 (edited).mp4","1.37","2026-06-25 18:24:18","e673a8fc-a06d-4e6f-8a00-1ca3fe476e16","uploaded_to_bunny_processing","2026-07-01 01:42:07",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-02-24 Tuesday Restorative 09-45-13","2026-02-24 Tuesday Restorative 09-45-13 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-24 Tuesday Restorative 09-45-13 (edited).mp4","1.36","2026-06-25 19:12:38","9a129984-dffb-4ff7-8dd8-e2095557e445","uploaded_to_bunny_processing","2026-07-01 01:50:26",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-02-25 Wednesday Somatikatha 09-38-37","2026-02-25 Wednesday Somatikatha 09-38-37 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-02-25 Wednesday Somatikatha 09-38-37 (edited).mp4","1.21","2026-06-25 19:19:30","e3ab064b-b93c-4a09-9080-74c5b1272455","uploaded_to_bunny_processing","2026-07-01 01:59:00",""
"uploaded","Live Studio Classes","Somatic Vinyasa","Live Studio Classes - Somatic Vinyasa","2026-03-02 Monday Somatic Vinyasa 17-41-17","2026-03-02 Monday Somatic Vinyasa 17-41-17 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-03-02 Monday Somatic Vinyasa 17-41-17 (edited).mp4","1.77","2026-06-25 22:14:59","c5be3726-e312-4f8c-b356-81179b7c2370","uploaded_to_bunny_processing","2026-07-01 02:11:47",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-03-03 Tuesday Restorative 09-48-02","2026-03-03 Tuesday Restorative 09-48-02 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-03-03 Tuesday Restorative 09-48-02 (edited).mp4","1.8","2026-06-26 03:18:38","2d804b8a-699c-491e-9254-6179d27ffaf6","uploaded_to_bunny_processing","2026-07-01 02:22:17",""
"uploaded","Live Studio Classes","Somatic Hatha","Live Studio Classes - Somatic Hatha","2026-03-04 Wednesday Somatikatha 12-05-47","2026-03-04 Wednesday Somatikatha 12-05-47 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-03-04 Wednesday Somatikatha 12-05-47 (edited).mp4","0.73","2026-06-26 03:21:48","2e48a443-021b-4149-a6b7-8e7842dbdd5f","uploaded_to_bunny_processing","2026-07-01 02:26:54",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-03-10 Tuesday Restorative 09-30-39","2026-03-10 Tuesday Restorative 09-30-39 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-03-10 Tuesday Restorative 09-30-39 (edited).mp4","1.43","2026-06-25 22:31:20","79aad1d4-65d4-4f5c-8166-0803b3e7b785","uploaded_to_bunny_processing","2026-07-01 02:35:00",""
"uploaded","Live Studio Classes","Restorative","Live Studio Classes - Restorative","2026-03-10 Tuesday Restorative 17-48-16","2026-03-10 Tuesday Restorative 17-48-16 (edited).mp4","D:\Beyond the Bend Yoga Live Classes\Outbox\2026-03-10 Tuesday Restorative 17-48-16 (edited).mp4","1.46","2026-06-25 22:39:17","4f34b45f-b447-4950-873a-499b8e0216dd","uploaded_to_bunny_processing","2026-07-01 02:43:16",""
